No;Kalimat;Kata;Sentimen;;;
1;Indonesia dan Malaysia misalnya, keduanya dikendalikan oleh oleh politik identitas dan bibit radikalisme yang sengaja dibiarkan oleh pemerintah. ;misalnya;Netral;;;
2;Kalau hal modis busana tradisional misalnya, Malaysia lebih konservatif. Dalam hal ini, apakah lebih konservatif berarti lebih baik? Bisa ya, bisa tidak.;Bisa ya, bisa tidak;Netral;;; 
3;Anak muda menjadi sasaran karena target penyebaran radikalisme karena masih punya jiwa muda. Selain itu, biasanya anak muda yang terpapar radikalisme ialah yang baru mendalami agama.;Biasanya;Netral;;;
4;Para remaja dan pemuda yang kini terindoktrinasi ajaran radikal, layaknya bibit Ğ bibit yang baru mau bertumbuh, saat ini mereka tidak menunjukkan tanda bahaya bagi masyarakat, namun semaian radikalisme yang terus dipupuk akan menjadi sangat berbahaya pada 20 Ğ 30 tahun mendatang ketika mereka sudah dewasa, memiliki kekuasaan, sumberdaya atau akses tertentu.;layaknya;Netral;;;
5;Di antara ideologi berbahaya tersebut, contohnya, adalah komunisme yang anti-Tuhan, dan agama yang akhir ini mengemuka dalam kehidupan bangsa dan dengan berbagai penjelmaan.;Contohnya;Netral;;;
6;Menurut Irfan, justru upaya mencabut dan menghancurkan pohon tersebut hanya akan menumbuhkan radikalisme baru, bahkan jumlahnya bisa lebih besar. Ia menawarkan apa yang disebutnya narasi alternatif.;Justru, bahkan;Netral;;;
7;Jika radikalisme adalah sebuah pohon, sepertinya yang perlu dilakukan adalah memperbanyak pohon-pohon lain yang dapat menangkal pohon dengan akar radikal tersebut.;Sepertinya;Netral;;;
8;Pandangan di atas merupakan pandangan awam yang tidak mengetahui persoalan. Anggapannya, ketika Pancasila tidak ada di dalam UUD maka ia bukan dasar negara.;Anggapannya;Netral;;;
9;Mengubah dasar negara tidak hanya akan mengubah bentuk negara, tetapi juga latar belakang pendirian dan tujuan bernegara. Oleh karenanya, mengubah Pancasila pasti akan mengubah NKRI.;Oleh karenanya;Negatif;;;
10;Ketika bentuk negara berubah, sistem hukumnya juga akan berubah, termasuk model kekuasaannya.;Negara berubah;Negatif;;;
11;Ryamizard mengingatkan pihak-pihak yang mau mengganti Pancasila sama saja menggantikan Indonesia.?? Pancasila ?adalahÊideologi negaraÊyang sudah final.;Pancasila;Positif;;;
12;Para penolak Pancasila juga menyatakan bahwa dasar negara ini tidak ada di dalam UU. ;Penolak;Negatif;;;
13;Dalam rangka menghormati hasil kesepakatan tersebut, organisasi seperti Muhammadiyah mengakui Negara Pancasila sebagai dar al-Ôahdi wa al-syahadah, negara hasil kesepakatan dan persaksian.;dar al-Ôahdi wa al-syahadah;Positif;;;
14;Pengakuan kedua organisasi itu selaras dengan keyakinan yang melandasi pergerakannya, yakni ajaran Al Quran, seperti QS Al Maidah ayat 1 dan QS Al Isra:34 yang memerintahkan orang-orang beriman untuk menerima hasil kesepakatan dan memenuhi janji.;Al Quran;Positif;;;
15;Terlebih lagi, Pancasila juga memuat prinsip tauhid dalam teks Ketuhanan yang Maha Esa, sebagaimana fondasi dari segala sumber ajaran agama.;Pancasila;Positif;;;
16;Dia pun mengingatkan rakyat Indonesia, terutama para generasi muda, bahwaÊPancasilaÊadalah kesepakatan luhur dalam berbangsa dan bernegara.Ê;Pancasila;Positif;;;
17;Gerakan yang merongongÊPancasilaÊdi antaranya pemberontakan oleh Partai Komunis Indonesia (PKI) seperti yang terjadi tahun 1965 lewat gerakan G30SÊPKI.;PKI;Negatif;;;
18;Di samping itu, kataÊMahfudÊMD,ÊPancasilaÊjuga teruji menghadapi gerakan Darul Islam (DI) dan Tentara Islam Indonesia (TII) serta Perjuangan Rakyat Semesta (Pesemesta).Ê;DI TII;Negatif;;;
